,id,text,user,datetime,retweet_count,favorite_count,	,cluster
22,870433782091980800,Africa's top shots https://t.co/64IJf1cBzv,742143,2017-06-02 00:16:00,26,62,3469794,7
23,870433813943341056,Here is the powerful @washingtonpost using attack dog @daveweigel to blatantly lie and smear a progressive news show https://t.co/cUJsLBcICD,98992586,2017-06-02 00:16:07,105,157,3469324,7
24,870434033590775810,"RT @BackRowBaptist: The only Global Warming you need is the Holy Fire of the Spirit spreading His Word across the globe, child! AMEN YES HA…",640893,2017-06-02 00:17:00,18,0,3461030,3
28,870435132582350851,RT @maggiekb1: Environmental treaties used to be a fairly bipartisan issue. Then 1990 happened. https://t.co/UQIYmzxTpa #ParisAgreement htt…,16017475,2017-06-02 00:21:22,479,0,3474343,43
31,870435811325386753,RT @zdarsky: going to go see Wonder Woman and if it turns out Wonder Woman's mom isn't named Martha I'm fucking leaving,16395449,2017-06-02 00:24:03,1976,0,3458484,3
32,870436045128572930,"It's finally here. @WonderWomanFilm opens this weekend. If you could borrow a weapon, which would it be? https://t.co/mCHYF5gZSW",17454769,2017-06-02 00:24:59,16,24,3468616,7
34,870436143887777792,Seems obvious that Jared &amp; Ivanka are key WH sources and that some reporters compete to flatter them by portraying… https://t.co/rbkrfEIkZM,16017475,2017-06-02 00:25:23,2537,6721,3474102,7
37,870437310017531904,"Ethics waivers to 17 appointees, including 4 former lobbyists https://t.co/EWWrORFE4D is inconsistent with this: https://t.co/7CQb7hHCV7",4119741,2017-06-02 00:30:01,34,44,3477804,7
38,870437311653310465,"Trump on the campaign trail: ""We’re going to cancel the Paris Climate Agreement."" Promise Kept.… https://t.co/2jwgLGdI0C",8953122,2017-06-02 00:30:01,19,32,3502705,6
39,870437316761755648,Running is the worst way to get fit: https://t.co/6WzKdk1eGe https://t.co/YDL8kQmBPw,23818581,2017-06-02 00:30:02,71,184,3469751,7
40,870437340816306178,"Down the coast from Trump's Mar-a-Lago, south Florida is experiencing regular episodes of rising sea levels… https://t.co/ZHui2mdlTf",742143,2017-06-02 00:30:08,489,629,3468946,6
42,870437615090245636,WOW. what the fuck are you becoming america https://t.co/ztAoPQAVVc,14321959,2017-06-02 00:31:14,92,116,3461635,7
45,870438565271879680,".@DWStweets claims Syria, Nicaragua, only countries not to sign Paris Agreement. True. https://t.co/BJhQE9RlPs https://t.co/aE1WuUqUHN",8953122,2017-06-02 00:35:00,70,117,3502406,7
46,870438597240946688,Lisa I've known and liked you and your mom for years in spite of disagreements. You and Kathy are invited on My rad… https://t.co/T9qiYJrP4i,41634520,2017-06-02 00:35:08,453,1552,3474846,7
48,870439051001778177,"RT @tedlieu: Speech by @realDonaldTrump shows he didn't read Paris Accord. Agreement does not bind US to any climate goal or policy, &amp; US c…",14321959,2017-06-02 00:36:56,21057,0,3461293,35
49,870439713378889728,RT @HotlineJosh: This would be a lead story for any other president https://t.co/7HV93MVcXH,4248211,2017-06-02 00:39:34,688,0,3459754,43
51,870440195610509318,RT @jameswest2010: These 3 states combined are responsible for nearly a quarter of US GDP. They are commiting to fight: https://t.co/1fcudB…,18510860,2017-06-02 00:41:29,243,0,3469371,43
52,870440205173612544,'World won't laugh any more' https://t.co/momvLeESNS,742143,2017-06-02 00:41:31,175,443,3468263,7
55,870440842590400513,"RT @JohnJHarwood: GOP congressman on climate change: ""God is much bigger than us. if there's a real problem, he can take care of it"" https:…",14321959,2017-06-02 00:44:03,229,0,3460866,43
56,870441060081840128,RT @RepSpeier: About to talk to @greta on @MSNBC about the Russia investigations https://t.co/W5wUD4O48c,16031927,2017-06-02 00:44:55,17,0,3476326,43
57,870441067014901760,Surprised to see people still piling on @KathyGriffin. She made a mistake. She apologized. Let's accept her apology and move on.,22685200,2017-06-02 00:44:57,145,921,3467022,10
58,870441162934550528,Lisa I'm always willing to accept sincere apologies. Why do liberals always try and silence conservatives who make… https://t.co/Fd8yacke7A,41634520,2017-06-02 00:45:19,561,2511,3474235,7
59,870441318358581250,Why? Because you may not agree with me? What makes you so certain you are right about things? https://t.co/w0fCmd0AAp,16031927,2017-06-02 00:45:56,11,89,3476265,7
62,870441578367725569,RT @planetepics: The shortest international bridge in the world. Between Portugal and Spain. https://t.co/Duc55EzJ1g,16031927,2017-06-02 00:46:58,343,0,3476203,43
63,870441652959227905,RT @planetepics: When you meet the person who's too cute to handle https://t.co/gIF3ABHEW6,16031927,2017-06-02 00:47:16,255,0,3476185,43
64,870441879778840576,it was nice knowing you guys. https://t.co/oR8LbYVGih,14321959,2017-06-02 00:48:10,11,10,3460619,7
65,870441916885860353,"RT @JenniferJJacobs: How many times did Trump's aircraft fly to Russia?
Zero, the records say.
Not even in Nov 2013, when he was there for…",4248211,2017-06-02 00:48:19,1452,0,3459229,16
66,870441958791139328,Also Lisa. I WILL ACCEPT that this is sincere. I watched it 4 times. If a conservative did that with Obama would li… https://t.co/moLhFN3VFl,41634520,2017-06-02 00:48:29,413,2054,3474045,7
68,870442246646247424,RT @JohnPaczkowski: Read Apple CEO Tim Cook's Email To Employees About Trump Trump Pulling Out Of The Paris Accord https://t.co/eeydj4L7wg…,9532402,2017-06-02 00:49:38,70,0,3473273,23
69,870442253419982848,Lisa if you have time please watch my opening monologue and I will delve deep into my point. My best to you and you… https://t.co/vDvpqgWwip,41634520,2017-06-02 00:49:39,279,1488,3473975,7
72,870443170156433409,Global diarrhoea deaths down by a third https://t.co/bAqfOdBDlR,742143,2017-06-02 00:53:18,111,332,3467555,7
73,870443307943563264,"RT @nickgillespie: Which senators voted for this ""treaty"" again? https://t.co/mSWuxA4zYM",14347972,2017-06-02 00:53:51,799,0,3459475,43
74,870443366277939200,RT @anyjawn: bitch me too he ain't special https://t.co/JppjvrTJOF,14321959,2017-06-02 00:54:05,78854,0,3460264,43
75,870444078122627072,Ok that's funny. https://t.co/GgsxTr3uSt,27311044,2017-06-02 00:56:54,68,463,3475134,7
76,870444178601369603,Mayor of Pittsburgh. https://t.co/KMANxyprYs,14940354,2017-06-02 00:57:18,123,258,3476418,7
77,870444261971546113,"RT @SScalpings: Exposing the hypocrisy: Don Lemon’s long history of weirdness, gaffes and insensitive statements https://t.co/jSaMVWK2pg #s…",41634520,2017-06-02 00:57:38,3013,0,3473496,43
78,870444390292099072,Tonight Hannity 10 Est on the FNC. Imho one of the most important opening monologues I've ever put together. True support of free speech.,41634520,2017-06-02 00:58:09,1104,4940,3473465,3
80,870444860267937793,Our most-clicked story in May: Misleading headlines say the GOP health bill makes rape a pre-existing condition… https://t.co/qqw5kBJcyn,8953122,2017-06-02 01:00:01,18,17,3500905,7
83,870444882774470656,"People WANT SINGLE PAYER!!! w/ @miserablelib, @RonPlacone https://t.co/RezFEfknLc",98992586,2017-06-02 01:00:06,60,131,3466685,7
84,870444937397108736,"In this short story, Will Mackin follows Navy SEALs on an ill-fated mission in Afghanistan: https://t.co/V7UI27dVCS https://t.co/znxmtX6h6f",14677919,2017-06-02 01:00:19,15,52,3467427,7
85,870444937971720193,Every insane thing Donald Trump has said about global warming https://t.co/Ok7MhCCzj4 https://t.co/qCyR49JPb3,18510860,2017-06-02 01:00:19,55,50,3468241,6
86,870445050357891072,AGRESSIVE PROGRESSIVES RIGHT NOW!,98992586,2017-06-02 01:00:46,24,155,3466645,3
88,870446301804154881,Man accused of Malaysia Airlines threat does not appear in court https://t.co/ZxOefNLGp8,742143,2017-06-02 01:05:45,37,70,3466808,7
89,870447057676447744,"Tonight on #Hannity I'll be joined by @VP Mike Pence, @GovMikeHuckabee, @THEHermanCain, @BrentBozell, @SaraCarterDC, @SScalpings and more",41634520,2017-06-02 01:08:45,604,2749,3472829,3
90,870447711409115137,@NYDailyNews Rift in Antarctica’s Larsen C ice shelf grew by 17 kilometers (10.6 miles) in six days.… https://t.co/tjyQxyoFvP,14940354,2017-06-02 01:11:21,88,55,3475575,7
91,870447837338796033,RT @TuckerCarlson: Don't miss @SteveHiltonx's new show which premieres Sunday at 9PM ET on @FoxNews. It is definitely a must see! #Tucker,6393032,2017-06-02 01:11:51,139,0,3456469,3
92,870447922420338689,RT @DanaPerino: Ok that's funny. https://t.co/GgsxTr3uSt,6393032,2017-06-02 01:12:11,68,0,3456449,43
93,870448028959858689,I yearn for the days when two people could have different views and it would be intellectual challenge and not war… https://t.co/MWrZaFyQVn,16031927,2017-06-02 01:12:36,125,1036,3474665,7
95,870448393440681984,"RT @JenniferJJacobs: How many times did Trump's aircraft fly to Russia?
Zero, the records say.
Not even in Nov 2013, when he was there for…",6393032,2017-06-02 01:14:03,1452,0,3456337,16
97,870448503750873088,RT @TuckerCarlson: .@MikeDeWine: 10-12 people a day die in Ohio bc of #Opioids.  Foster care is overflowing with kids that have lost parent…,6393032,2017-06-02 01:14:30,291,0,3456310,10
98,870448514769321985,RT @TuckerCarlson: .@MikeDeWine: Drug companies convinced doctors and the public that #Opioids weren't dangerous #Tucker @FoxNews,6393032,2017-06-02 01:14:32,245,0,3456308,3
100,870448758286426112,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,14347972,2017-06-02 01:15:30,48889,0,3458176,3
104,870449394272915456,RT @elonmusk: Am departing presidential councils. Climate change is real. Leaving Paris is not good for America or the world.,21982720,2017-06-02 01:18:02,235164,0,3471711,3
107,870449629187452929,"RT @JenniferJJacobs: How many times did Trump's aircraft fly to Russia?
Zero, the records say.
Not even in Nov 2013, when he was there for…",14347972,2017-06-02 01:18:58,1452,0,3457968,16
110,870449939620532225,"RT @anildash: It's still a good idea. Zuckerberg shouldn't run, but if he does, he should at least do so now to distract Trump from his mal…",14321959,2017-06-02 01:20:12,32,0,3458696,16
113,870450113294020610,"RT @exjon: ""Proud"" https://t.co/UuQ8cD0o89",14347972,2017-06-02 01:20:53,47,0,3457853,43
115,870450177445773312,RT @emeryemeryii: This is what @jimmy_dore looks like when he's right twice. https://t.co/DaeAsQeskE https://t.co/3UokoHt99A,98992586,2017-06-02 01:21:09,120,0,3465421,43
116,870450298065743872,RT @SteveMcCannAT: @charlescwcooke @DavidAFrench Hey @JoyceChaplin1 the only signatories to the Treaty of Paris in 1783 were the UK and the…,14347972,2017-06-02 01:21:37,17,0,3457809,3
117,870450654703046656,"RT @michelleisawolf: Congressman: god will take care of climate change.

God: bitch I sent you scientists.",16395449,2017-06-02 01:23:02,83320,0,3454945,3
118,870450730976636929,"RT @BillKristol: Someone should write a book on ""Virtue Signaling in the Early 21st Century,"" with chapter on reaction to Trump pulling out…",14347972,2017-06-02 01:23:21,107,0,3457705,16
119,870450847880282112,"RT @Nate_Cohn: Massive early voting in GA-6, still exceeding general election levels. 32k already cast. Crazy. https://t.co/tNcpDR6hHu",6393032,2017-06-02 01:23:48,513,0,3455752,43
122,870451009444880384,RT @dcexaminer: Trump sanctions Russian company for aiding North Korea's nuclear program https://t.co/mUMj8wVmzc https://t.co/wHscz93nLA,18646108,2017-06-02 01:24:27,179,0,3473737,6
123,870451219055161344,"In withdrawing from the Paris agreement, Donald Trump gave free rein to his maniacal, zero-sum view of the world. https://t.co/WtAmZctQJQ",14677919,2017-06-02 01:25:17,659,993,3465929,6
124,870451353314897924,RT @SheilaGunnReid: These Clintons are political herpes. They just flare up all time. https://t.co/ENqd5mT7Fb,15976697,2017-06-02 01:25:49,524,0,3472815,43
125,870451747420073984,"RT @dcexaminer: Ryan, McConnell praise Trump's move against Paris climate deal https://t.co/xpg6cLXXSn https://t.co/vmYUVkMp9v",18646108,2017-06-02 01:27:23,152,0,3473560,6
128,870452407058280450,@BrentBozell and @SScalpings’s Melanie Morgan and Brian Maloney join me in 30 minutes with examples of the latest liberal fascism #Hannity,41634520,2017-06-02 01:30:00,50,126,3471553,3
129,870452413966163968,"Goodbye Paris agreement, goodbye world: https://t.co/yy98YO5mH8 https://t.co/k8WbfLofuc",23818581,2017-06-02 01:30:02,61,144,3466150,7
130,870452488331300865,An art installation is restoring the snowman’s colorful history of sex and violence: https://t.co/Wc80pP6gLG https://t.co/sU24bwYDpt,14677919,2017-06-02 01:30:20,21,47,3465626,7
132,870452758687690752,RT @stevenjay: White House aides thought other White House aides swayed Trump with junk data. https://t.co/ImjmbOELqp https://t.co/TrD3xpxy…,13524182,2017-06-02 01:31:24,689,0,3472208,6
133,870452826270560256,"RT @libbycwatson: ""i know you are but what am i"" (this is fairbanks' actual lawyer, tweeting through it) https://t.co/rEGdiAMFwf",13524182,2017-06-02 01:31:40,46,0,3472192,43
136,870453252239880193,i mean we're at the point where we're celebrating the ceo of goldman condemning the prez for reneging on a deal to save the planet,14321959,2017-06-02 01:33:22,17,35,3457906,46
137,870453351347081220,Well -ok 1st @kathygriffin &amp; now @DavidSedaris- opinions on all sides matter-question-Is @realDonaldTrump derangeme… https://t.co/kiVajgbg3f,18646108,2017-06-02 01:33:45,180,468,3473178,7
140,870453477151002624,The only logical explanation is that Kathy Griffin is an agent of Vladimir Putin https://t.co/djX8t8X2Cp,16244449,2017-06-02 01:34:15,14,115,3456911,7
141,870453528262823936,RT @jerryiannelli: It's not like Cassandra Fairbanks has a huge public archive of all the times she complained about speech police https://…,13524182,2017-06-02 01:34:28,66,0,3472024,43
143,870453832576380928,"In the end, it's going to turn out he sold out his country for no better reason than he was a broke pervert. And some of you let him do it.",21035409,2017-06-02 01:35:40,6215,19726,3452694,3
144,870453857020760064,"Hey @AAUW! Just arrived &amp; can't wait to speak with &amp; hear from all the brilliant women gathered for #NCCWSL17 tomorrow morning,",18587457,2017-06-02 01:35:46,17,99,3472393,35
145,870454177050349569,RT @rebleber: you probably didn't realize: the US pulling out of the Kyoto climate treaty only strengthened Russia https://t.co/nz8bpQXwm9,18510860,2017-06-02 01:37:02,433,0,3466038,43
146,870454245786611712,"RT @AmyJBrittain: When the White House won't confirm basic facts, you have to get creative. We used flight data to nail down the date for K…",14940354,2017-06-02 01:37:19,2567,0,3474017,3
148,870454461537320960,"Remembering Dr. Brzezinski: From ""stunningly superficial"" dust up to indispensable role model.  https://t.co/6JUaoZQK8F",21619519,2017-06-02 01:38:10,167,1075,3468476,7
151,870454923456118790,".@realDonaldTrump had statistics to back up his decision to withdraw from Paris. But was what he said true?
https://t.co/xQFDI4IPMf",8953122,2017-06-02 01:40:00,142,121,3498506,7
152,870455906374430720,"Not trying to be funny or clever and I don't expect you to see this, but I feel a profound need to tell you to go f… https://t.co/IagkAaMeJ2",21035409,2017-06-02 01:43:55,1494,8673,3452199,7
154,870457133489377281,thank you Kelly...we need to bring civility to debate and focus on facts and not just taking sides https://t.co/QQExKSx5C2,16031927,2017-06-02 01:48:47,14,194,3472494,7
157,870457371436478464,Let It Go. https://t.co/dNY9T7Rfz1,15220768,2017-06-02 01:49:44,154,940,3472891,7
158,870457445889519618,RT @KatieAnnieOakly: .@realDonaldTrump believes in climate change; he asked Ireland's govt to build a seawall to protect his golf course: h…,15220768,2017-06-02 01:50:02,1434,0,3472873,2
159,870457473727164416,I learn from people who disagree with me more often than w/those who agree with me. https://t.co/8oaVKzCDrH,16031927,2017-06-02 01:50:08,15,130,3472413,7
160,870457576063946754,RT @abbydphillip: Flight data suggests Russian banker likely went directly from meeting with Kushner to join Putin in Japan. https://t.co/S…,15220768,2017-06-02 01:50:33,4536,0,3472842,43
161,870457695626809347,It was a great time to visit our friends at the German Embassy. Thank you for hosting us and thank you for your fri… https://t.co/MJeL5BajF4,21619519,2017-06-02 01:51:01,245,1961,3467705,7
163,870457855312318465,Science is a bitch. https://t.co/OeY9Gp98EZ,15220768,2017-06-02 01:51:39,419,861,3472776,7
164,870457974082465792,He's allowing himself to be used. https://t.co/ZTs29HUsQJ,15220768,2017-06-02 01:52:08,30,138,3472747,7
165,870458020899282944,RT @solomongeorgio: Keep our name out your damn mouth. https://t.co/6AHor1AMl1,21035409,2017-06-02 01:52:19,923,0,3451695,43
166,870458075416850432,'Immoral assault' https://t.co/htUMtpvfjD,742143,2017-06-02 01:52:32,141,236,3464001,7
167,870458083251814400,America first https://t.co/XEiQikxlho,742143,2017-06-02 01:52:34,168,288,3463999,7
168,870458210934820864,RT @RheaButcher: We don't want you https://t.co/RnUqZqch3y,21035409,2017-06-02 01:53:04,1079,0,3451650,43
169,870458493723185152,"RT @rstevens: Tonight's comic knows how to fix the internet!

https://t.co/vmkFBL66vI https://t.co/lQaFgnJPOm",643653,2017-06-02 01:54:11,14,0,3453488,43
170,870458601256648705,Twitter is good https://t.co/7AHFYRpNeg,13524182,2017-06-02 01:54:37,119,647,3470815,7
171,870459025183436800,Juvenile behavior being enabled by the GOP. https://t.co/zo2WHsHZeY,15220768,2017-06-02 01:56:18,944,2986,3472497,7
175,870459963331751936,"Only Syria &amp; Nicaragua didn't sign Paris accord. ""Nicaragua said it wasn't tough enough."" https://t.co/BJhQEa8Xe2 https://t.co/3lUYD9HXqu",8953122,2017-06-02 02:00:02,298,312,3497304,7
176,870459966280286208,"The complete, untold history of Halo: https://t.co/VAtlA4dSHF https://t.co/8YgWjstRAQ",23818581,2017-06-02 02:00:02,45,159,3464350,7
177,870460022085619712,"Drifting off after an alarm can leave you more tired, not less. Could there be a better way to feel rested?… https://t.co/VdkTFVT4XL",14677919,2017-06-02 02:00:16,41,119,3463830,7
178,870460303150133252,RT @davidfrum: Michael Isikoff on Trump's failed effort to repay Putin https://t.co/3srt2odyrq,16244449,2017-06-02 02:01:23,467,0,3455283,23
180,870460626367381504,RT @lloydblankfein: Today's decision is a setback for the environment and for the U.S.'s leadership position in the world. #ParisAgreement,41814169,2017-06-02 02:02:40,12772,0,3469991,3
182,870460955850940417,You got it https://t.co/AD8SGqxXGP,27311044,2017-06-02 02:03:58,11,198,3471110,7
183,870461238437978114,Reality check. https://t.co/kAOWueXNvr https://t.co/SEqQN69uvh,17454769,2017-06-02 02:05:06,14,44,3462609,7
185,870461740785573888,Resorts World Manila: Gunman set himself on fire in room https://t.co/8oK2rYv8eL,742143,2017-06-02 02:07:06,103,92,3463127,7
187,870462348259201024,RT @KeithHennessey: Is the Paris Agreement QTIIPS? https://t.co/4fiikgjqHn,27311044,2017-06-02 02:09:30,32,0,3470778,43
190,870462921729597440,RT @MotherJonesWire: Today's Terror Attack Was Fake News https://t.co/e74Ycr6VkC https://t.co/GTCrccZakt,18510860,2017-06-02 02:11:47,21,0,3463953,43
192,870463897400217601,RT @kdrum: Today's Terror Attack Was Fake News https://t.co/cNpOFjcVHi,18510860,2017-06-02 02:15:40,35,0,3463720,13
194,870464646968430593,"Trump might not cause the end of the Western world, but he could end U.S. role at its center: My latest column https://t.co/OzdLLhAFvk",41814169,2017-06-02 02:18:38,362,665,3469033,6
195,870464991060672512,Hillary Clinton continues to float conspiracy theories about why she lost the election... @GovMikeHuckabee joins me next #Hannity,41634520,2017-06-02 02:20:00,894,4601,3468553,3
197,870466217357844481,"Ronnie Wood poses with twin daughters on his 70th birthday, just days after they turn one. https://t.co/OH3tzzo16i",14940354,2017-06-02 02:24:53,11,31,3471163,7
201,870466752404226049,RT @feliciaday: In every way this administration is trying to make the world a worse place for my baby to grow up in. I've never felt such…,14321959,2017-06-02 02:27:00,1144,0,3454688,3
202,870466779876864000,"RT @michelleisawolf: Congressman: god will take care of climate change.

God: bitch I sent you scientists.",14321959,2017-06-02 02:27:07,83321,0,3454681,3
203,870466926757195776,"RT @BillyHallowell: We have to stop and ask ourselves: who do we want to be? Truly, it is far past time: https://t.co/HdLzO2ts9L",9532402,2017-06-02 02:27:42,85,0,3467389,43
204,870467434347737092,"RT @HenryJGomez: .@Carrasquillo: Ivanka ""now risks having raised expectations ... that are basically impossible for her to fulfill."" https:…",9532402,2017-06-02 02:29:43,26,0,3467268,43
205,870467507609456640,The House Intel Committee subpoenas 3 Obama officials relating to the unmasking scandal… @SaraCarterDC and John Solomon have reaction next,41634520,2017-06-02 02:30:00,1600,6349,3467953,3
206,870467514530095105,"U.S. drug and immigration laws target nonviolent young people of color, report shows: https://t.co/5L0D05kyHh https://t.co/oJfNEe0vBs",23818581,2017-06-02 02:30:02,99,130,3462550,7
208,870467613826088963,"Colm Tóibín reads Mary Lavin's “In The Middle of the Fields"": https://t.co/oVnmchpiME https://t.co/VPgcazXzUN",14677919,2017-06-02 02:30:26,11,35,3462020,7
209,870467799566700544,RT @blakehounshell: Trump claimed there was a terrorist attack in Manila. It was a robbery. https://t.co/0MEIUHFM0G,9532402,2017-06-02 02:31:10,58,0,3467181,23
210,870467883523952641,RT @John_D_Blackman: Thank you @jimmy_dore for telling telling truth to power on behalf of those without much of a voice #IstandWithDore #M…,98992586,2017-06-02 02:31:30,67,0,3461200,3
211,870468208410734592,"Join me in existential despair, friends https://t.co/0Ml0EWKlqz",14321959,2017-06-02 02:32:48,11,30,3454340,7
212,870468258469728256,"RT @rebleber: a few people have asked for factchecks of what Trump said. 
@AlexCKaufman did a good one: https://t.co/W1ywm2FMAz",14940354,2017-06-02 02:32:59,117,0,3470677,23
213,870468409087184896,"I was on CNN earlier discussing Putin, Russia investigation: https://t.co/dmQSwNZGLp",41814169,2017-06-02 02:33:35,59,195,3468136,7
214,870469745400741888,"RT @Kasparov63: Putin's typical pattern of angry denial followed by winking denial, usually followed by tacit admission &amp; then domestic boa…",9532402,2017-06-02 02:38:54,2843,0,3466717,35
215,870469805496840192,I also discussed why today's announcement on the Paris climate agreement hurts U.S. leadership role in the world: https://t.co/BmjHxCB627,41814169,2017-06-02 02:39:08,157,338,3467803,7
216,870469995515523072,"So bizarre to decide issues like climate accords based on feelings of macho, insecure posturing (""laughing at us,"" etc.)",21982720,2017-06-02 02:39:54,336,1370,3466799,3
217,870470040537247745,The rumors are true: even ol' Spidey watches the #NBAFinals too. https://t.co/B6qbSLveAr #SpiderManHomecoming… https://t.co/Odm0jUCg2r,65289126,2017-06-02 02:40:04,738,2559,3450406,7
219,870470207604744192,"RT @RobertIger: As a matter of principle, I've resigned from the President's Council over the  #ParisAgreement withdrawal.",21982720,2017-06-02 02:40:44,55335,0,3466749,3
221,870470626598957056,"Watching @ScrippsBee. Very exciting. Would be fun if they were asked to spell ""covfefe. Language of origin: midnight twitter typo.",31127446,2017-06-02 02:42:24,28,121,3468056,3
223,870471176656748545,"Thanks for the swag @broussard_troy - Jasper, America's Dog, is hooked. https://t.co/fF6W6k72az",27311044,2017-06-02 02:44:35,19,372,3468673,7
224,870471295481372676,Every insane thing Donald Trump has said about global warming https://t.co/Ok7MhCCzj4,18510860,2017-06-02 02:45:04,240,266,3461956,6
225,870471303957970945,"Can you use it in a sentence? 
""The president was up late tweeting and typed the word 'covfefe' and sent it to his 31-million followers.""",31127446,2017-06-02 02:45:06,23,83,3467894,3
226,870471769265758209,"Are there any alternate pronunciations?
You bet. Koh-fee-fee; Kohv-fay-fay. Kahv-fee-fay.",31127446,2017-06-02 02:46:57,30,92,3467783,3
227,870472036140888064,MSNBC continues their biased anti-Trump coverage… Next @THEHermanCain will give his take #Hannity,41634520,2017-06-02 02:48:00,502,3034,3466873,16
228,870472287409106944,President Trump announced he is pulling the US out of the Paris Climate Agreement… @VP Mike Pence will be here next #Hannity,41634520,2017-06-02 02:49:00,711,5921,3466813,16
229,870472300973498368,"Part of speech?
""Covfefe"" could be a noun or adjective. Maybe others.",31127446,2017-06-02 02:49:03,11,34,3467657,3
233,870473145601236993,"RT @ericuman: So the WH is issuing ethics waivers seemingly *after* officials have already violated the rules. 

https://t.co/GESNAwQsfO ht…",14606079,2017-06-02 02:52:25,673,0,3461757,43
235,870473293320654848,.@edwardburtynsky's quest to photograph a changing planet: https://t.co/HyOfqnMu7c https://t.co/1KIVga2lxM,14677919,2017-06-02 02:53:00,121,172,3460666,7
236,870473303957360640,"RT @BBCBreaking: At least 25 bodies found in a Manila casino following shooting incident by lone gunman. 

https://t.co/UBY1GBHUaJ",742143,2017-06-02 02:53:02,1312,0,3460371,43
238,870473585281953792,"RT @BBCNewsAsia: Manila Casino shooting: Most victims appear to have suffocated to death 

Updates: https://t.co/YbgWWqHqhf https://t.co/xB…",742143,2017-06-02 02:54:10,86,0,3460303,43
240,870474553746571265,Question of the Day: Do you think President Trump made the right decision about the Paris Climate Agreement? #Hannity,41634520,2017-06-02 02:58:00,1327,11048,3466273,16
241,870474653931905024,RT @existentialfish: the state of the conservative movement https://t.co/YpuL36lPX5,13524182,2017-06-02 02:58:24,3023,0,3466988,43
242,870474674458599424,On this same day in history CNN launches worlds 1st 24 hr all-news network in 1980 &amp; in 1779 BenedictArnold is court-martialed. Coincidence?,14465607,2017-06-02 02:58:29,12,28,3468403,35
244,870475067041263616,This dumbass tried to stunt at the mall and ended up falling through the roof of a cinnamon bun stand:… https://t.co/PGWazmGyWK,23818581,2017-06-02 03:00:03,21,77,3460749,7
245,870475139137359872,Listening Booth: “Despacito Remix” and Justin Bieber’s performance of maturity. https://t.co/usuLjBYfCL https://t.co/FRcPokvhL2,14677919,2017-06-02 03:00:20,14,37,3460226,7
248,870475866932887553,Elon Musk would lose a lot of govt subsidies if the US pulls out. May be a connection https://t.co/PrRANxITz7,14465607,2017-06-02 03:03:13,58,121,3468119,7
252,870477398067867648,Brazil seizes 60 assault rifles hidden in pool heaters https://t.co/07SccphMlg,742143,2017-06-02 03:09:19,133,161,3459394,7
255,870477921244393474,"RT @Isikoff: In Jan.,the Trump WH began secret effort 2 lift Russia sanctions. SD officials moved quickly to block them https://t.co/30rRrj…",15220768,2017-06-02 03:11:23,5723,0,3467992,23
